restaurant_name,restaurant_location,restaurant_rating,restaurant_price_range,restaurant_latitude,restaurant_longitude,restaurant_location_link,restaurant_logo-src,restaurant_menu
Crêpe Me (เครปมี),"-, ซอย นนทบุรี15 บางกระสอ เมืองนนทบุรี นนทบุรี นนทบุรี (ต้นสัก ฟู้ด จังเกิ้ล night market อยู่ด้านหลังตลาดหลังใหญ่ เป็นโซนเปิดใหม่ ใกล้ทางเข้าที่จอดรถ)",5,฿,13.87342965,100.4810282,"https://www.google.com/maps/search/?api=1&query=13.873429652316917,100.48102815817661",https://img.wongnai.com/p/128x128/2024/04/20/9386a80d5eeb4d4f8d07dd889f87f276.jpg,
Pizza Hut (พิซซ่าฮัท),"199,199/1, เสาธงหิน บางใหญ่ นนทบุรี นนทบุรี (Pizza hut Centralwestgate ชั้น1)",,฿฿,13.87757217,100.410514,"https://www.google.com/maps/search/?api=1&query=13.877572174247687,100.41051400825381",https://img.wongnai.com/p/128x128/2024/08/15/3c83397173ae4305b67c79864b8c9a04.jpg,
Pizza Hut (พิซซ่าฮัท),99/29 หมู่ที่ 1 สมุทรปราการ,4.5,฿฿฿,13.632289,100.71067,"https://www.google.com/maps/search/?api=1&query=13.632289,100.71067",https://img.wongnai.com/p/128x128/2023/12/12/b84d12890ccb49fb8729a5f8c9d9c201.jpg,
Chu Chocolate Bar & Cafe (ชู ชอค์โกแลตบาร์ แอนด์ คาเฟ่),"388, ถนนสุขุมวิท กรุงเทพมหานคร (ชั้น 2​​ Exchange Tower)",3.9,฿฿฿,13.73566,100.561818,"https://www.google.com/maps/search/?api=1&query=13.73566,100.561818",https://img.wongnai.com/p/128x128/2017/08/12/b426b40a2d7b458da37895139cb7461e.jpg,
ป๊อกอาย ลูกชิ้นปลาระเบิด,"1144/14, พัฒนาการ30 สวนหลวง สวนหลวง กรุงเทพมหานคร กรุงเทพมหานคร (ตรงร้านอเมซอน (ไม่มีหน้าร้าน))",3,฿,13.73593081,100.6189233,"https://www.google.com/maps/search/?api=1&query=13.73593080753829,100.61892329265753",https://img.wongnai.com/p/128x128/2022/08/20/f8541f320b44405faea49d9c73c3644b.jpg,
Amatissimo Caffe Summakorn (Amatissimo Caffe),"120/4, Soi 6 Ramkhamhaeng 112, Saphan Sung, Bangkok, 10240, Thailand กรุงเทพมหานคร",4.2,฿฿,13.773983,100.67795,"https://www.google.com/maps/search/?api=1&query=13.773983,100.67795",https://img.wongnai.com/p/128x128/2021/08/25/04e9b431355b45f3839f34e3e127319f.jpg,
Pizza Hut (พิซซ่าฮัท),331 ถนนสาลีรัฐวิภาค กรุงเทพมหานคร,3,฿,13.789784,100.549838,"https://www.google.com/maps/search/?api=1&query=13.789784,100.549838",https://img.wongnai.com/p/128x128/2023/12/12/bf7fb707eee0437a84e55dad144c5a96.jpg,
Oishi Kitchen (โออิชิ คิทเช่น),"9/9, หมู่5 ตลาดขวัญ เมืองนนทบุรี นนทบุรี นนทบุรี",5,฿฿฿,13.845,100.5111,"https://www.google.com/maps/search/?api=1&query=13.845,100.5111",https://img.wongnai.com/p/128x128/2024/07/01/1c48dd6f32fd442a8127a5a1ec61c2b7.jpg,
zoom sky bar 2,36 ถนน นราธิวาสราชนครินทร์ แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120 ประเทศไทย กรุงเทพมหานคร,4,฿฿฿฿฿,13.7163077,100.5315244,"https://www.google.com/maps/search/?api=1&query=13.7163077,100.5315244",https://img.wongnai.com/p/128x128/2014/02/13/94ff60a62eda4402b7e59e3e2f89956b.jpg,
เตี๋ยวกะเพรา,"486/123, พญาไท ถนนเพชรบุรี ราชเทวี กรุงเทพมหานคร กรุงเทพมหานคร",4,฿,13.75224577,100.5314163,"https://www.google.com/maps/search/?api=1&query=13.752245774927,100.53141625598",https://img.wongnai.com/p/128x128/2022/04/21/79b2187319e34d3280c5ac3fc67c031e.jpg,
,ซอย เพชรเกษม 4 แขวงวัดท่าพระ เขตบางกอกใหญ่ กรุงเทพมหานคร 10600 ไทย กรุงเทพมหานคร,,฿฿,13.7305232,100.4816325,"https://www.google.com/maps/search/?api=1&query=13.7305232,100.4816325",,
ตามสั่ง RiceHouse Halal food (ตามสั่ง ไรส์เฮ้าท์ ฮาลาลฟู๊ด),"625/9, ประชาอุทิศ ทุ่งครุ ทุ่งครุ กรุงเทพมหานคร กรุงเทพมหานคร",5,฿,13.64047433,100.5063456,"https://www.google.com/maps/search/?api=1&query=13.640474332117,100.50634562527",https://img.wongnai.com/p/128x128/2022/07/13/3b8e4592df504b6f8701b71b5317bcfb.jpg,
ครัวบ้านจิบ,81 หมู่ 18 อาคาร บริเวณสถานีรถไฟเชียงรากใหญ่ ถนน เชียงรากใหญ่ ปทุมธานี (เข้ามาทางถนนเชียงรากฝั่งตรงข้าม มธ. ขับไปทางกลับรถใต้สะพานแต่ให้เลี้ยวซ้าย ผ่านสะพานคอนกรีตแล้วเลี้ยวซ้ายประมาณ 20 เมตรจะเห็นร้านอยู่ทางซ้ายมือริมฝั่งคลอง),4.4,฿฿,14.063295,100.593175,"https://www.google.com/maps/search/?api=1&query=14.063295,100.593175",https://img.wongnai.com/p/128x128/2014/09/02/96fbc3d5c1fa4942a7794dbeebddb367.jpg,
เด็กอ้วนขนมเบื้อง วาฟเฟิล บ้าบิ่น,"88 2528, โลตัสพระราม2 แสมดำ บางขุนเทียน กรุงเทพมหานคร กรุงเทพมหานคร",5,฿,13.6475755,100.4190972,"https://www.google.com/maps/search/?api=1&query=13.6475755,100.4190972",https://img.wongnai.com/p/128x128/2024/02/14/69f5e71f2097475f81218dd9a4f69b06.jpg,
ข้าวไก่ทอดคำหอม (Khamhom Chicken Rice),134/217 ถ.ประชาราษฎร์ สาย1ซอย 14 กรุงเทพมหานคร,,฿,13.80353315,100.5237973,"https://www.google.com/maps/search/?api=1&query=13.803533151176,100.52379727364",https://img.wongnai.com/p/128x128/2025/01/14/5cab9e97cda242d3bab0b69a4a39f793.jpg,
Five Star (ห้าดาว),"32, ถ.กรุงเทพ บางเขน เมืองนนทบุรี นนทบุรี นนทบุรี (หน้ามินิบิ๊กซี ตรงข้าม 7-11)",3.7,฿฿,13.83929861,100.5167922,"https://www.google.com/maps/search/?api=1&query=13.839298610588152,100.51679218187928",https://img.wongnai.com/p/128x128/2022/05/18/b59e3abd3ac943efb16ab8548b2fc018.jpg,
สเต็กลุงใหญ่ ถนนช่างอากาศอุทิศ (Steak Loongyai),"158/64, ช่างอากาศ ดอนเมือง ดอนเมือง กรุงเทพมหานคร, , , กรุงเทพมหานคร",5,,13.91534223,100.5856392,"https://www.google.com/maps/search/?api=1&query=13.915342228232129,100.58563922815588",https://img.wongnai.com/p/128x128/2023/11/13/8dfbaa2e0d7a45f4b2a66e556c61dea1.jpg,
PACAMARA (พาคามาร่า),"189, สะพานสูง สะพานสูง กรุงเทพมหานคร กรุงเทพมหานคร",4,฿,13.77690445,100.6727868,"https://www.google.com/maps/search/?api=1&query=13.776904451254731,100.67278677597642",https://img.wongnai.com/p/128x128/2025/01/03/4773e3717bff4f358e2734f5f1f87ac3.jpg,
Five Star (ห้าดาว),"000, งามวงศ์วาน24 บางเขน เมืองนนทบุรี นนทบุรี นนทบุรี (ซอยงามวงศ์วาน24 ข้างร.พ.นนทเวช)",,฿,13.854657,100.543551,"https://www.google.com/maps/search/?api=1&query=13.854656999999932,100.54355099999998",https://img.wongnai.com/p/128x128/2023/02/28/7bbbab9eae2e4aa2a752860d6d6029ea.jpg,
TiTiCaCa Booth,628 อาคารเอ็มสเฟียร์ ชั้นที่ G ถนนสุขุมวิท แขวงคลองตัน เขตคลองเตย กทม. 10110 กรุงเทพมหานคร,3,฿,13.73234633,100.566144,"https://www.google.com/maps/search/?api=1&query=13.732346329042,100.56614398956",https://img.wongnai.com/p/128x128/2024/03/21/294519e303f7487495aee35bf4fc7d15.jpg,
