ingredients,allergies
เส้นฟูซิลลี่,แป้งสาลี
เส้นเพนเน่,แป้งสาลี
ปลาซอร์ดฟิช,ปลา
แป้งลาซานญ่า,แป้งสาลี
ซอสโบโลเนส,ถั่วเหลือง
เส้นตาโกลิโอลินี,แป้งสาลี
ชีสเปโคริโน,นม
ชีสอิตาเลียน,นม
ราวิโอลี,"แป้งสาลี,นม"
เส้นสโตรซซาเปรติ,แป้งสาลี
ครีมซอสแกะ,นม
เส้นลิงกวินีหมึกดำ,"แป้งสาลี,ปลา"
ชีสริคอตต้า,นม
ราวิโอลีไส้เนื้อ,แป้งสาลี
หมึกดำ,ปลา
ปลาซอร์ดฟิช,ปลา
ปลากะพงขาว,ปลา
ปลาสแนปเปอร์,ปลา
ปลากะพงอบ,ปลา
กุ้งลายเสือ,กุ้ง
ชีสพาร์เมซาน,นม
ชีสกอร์กอนโซล่า,นม
แป้งอัลมอนด์,ถั่วเปลือกแข็ง
แป้งแพนเค้ก,"แป้งสาลี,ไข่,นม"
เลมอนเคิร์ด,"ไข่,นม"
ไข่ลวก,ไข่
ซอสฮอลแลนเดส,"ไข่,นม"
ขนมปังบิสกิต,แป้งสาลี
ลูกชิ้นปลา,ปลา
แป้งครัวซองต์,"แป้งสาลี,นม"
แมคคาเดเมีย,ถั่วเปลือกแข็ง
แป้งบริอช,"แป้งสาลี,นม,ไข่"
พีแคน,ถั่วเปลือกแข็ง
แป้งมัฟฟิน,"แป้งสาลี,ไข่,นม"
พิสตาชิโอ,ถั่วเปลือกแข็ง
แป้งเกี๊ยว,แป้งสาลี
เกล็ดขนมปัง,แป้งสาลี
บะหมี่กึ่งสำเร็จรูป,แป้งสาลี
ไก่กรอบ,แป้งสาลี
ขนมจีบ,แป้งสาลี
แกงเขียวหวาน,ถั่วเหลือง
แกงแพนง,ถั่วเหลือง
บัวลอย,แป้งสาลี
แปะก๊วย,ถั่วเปลือกแข็ง
สลิ่ม,แป้งสาลี
แปะก๊วย,ถั่วเปลือกแข็ง
นมสด,นม
เช็งซิมอี๊,แป้งสาลี
เกี๊ยวกุ้ง,"แป้งสาลี,กุ้ง"
เกี๊ยวหมู,แป้งสาลี
เกี๊ยวกุ้ง,"แป้งสาลี,กุ้ง"
เกี๊ยวหมู,แป้งสาลี
น้ำซุปเย็นตาโฟ,ถั่วเหลือง
เส้นก๋วยเตี๋ยว,แป้งสาลี
เกี๊ยวปลา,"แป้งสาลี,ปลา"
น้ำจิ้มแซ่บ,ถั่วเหลือง
ซ่าหริ่ม,แป้งสาลี
ทับทิมกรอบ,แป้งสาลี
ลูกชิ้นปลา,ปลา
เส้นหมี่,แป้งสาลี
เส้นหมี่ขาว,แป้งสาลี
ซอสเย็นตาโฟ,ถั่วเหลือง
เกี๊ยวทอด,แป้งสาลี
น้ำจิ้มหวาน,ถั่วเหลือง
น้ำจิ้มเผ็ด,ถั่วเหลือง
น้ำราดซีอิ๊ว,ถั่วเหลือง
นมสด,นม
โอวันติน,นม
ซอสช็อคโกแลต,นม
คอนเฟลค,แป้งสาลี
โอวัลติน,นม
โอริโอ้,"แป้งสาลี,นม"
ชานมไต้หวัน,นม
ไก่จ๊อ,"แป้งสาลี,กุ้ง"
มายองเนส,"ไข่,นม,ถั่วเหลือง"
ซอสหัวหอม,ถั่วเหลือง
ไก่ทอดสไปซี่,แป้งสาลี
อัลมอนด์,ถั่วเปลือกแข็ง
เนยถั่ว,ถั่วลิสง
คุกกี้,"แป้งสาลี,นม,ไข่"
โอรีโอ,"แป้งสาลี,นม,ไข่"
ชีสเค้ก,"แป้งสาลี,นม,ไข่"
พาย,"แป้งสาลี,นม,ไข่"
คุกกี้,"แป้งสาลี,นม,ไข่"
เค้ก,"แป้งสาลี,ไข่,นม"
เรดเวลเวท,"แป้งสาลี,ไข่,นม"
ชีสเค้ก,"แป้งสาลี,ไข่,นม"
ปลานิล,ปลา
ปอเปี๊ยะ,แป้งสาลี
ไข่แดงเค็ม,ไข่
ปลาทับทิม,ปลา
ปลาดุกทอด,ปลา
ปู,ปู
พริกแกงใต้,ถั่วเหลือง
ห่อหมก,"ปลา,ไข่"
มันกุ้ง,กุ้ง
กุ้งขาว,กุ้ง
ไข่ข้น,"ไข่,นม"
น้ำเกรวี่,ถั่วเหลือง
เฮเซลนัท,ถั่วเปลือกแข็ง
ครีมบรูลเล่,"ไข่,นม"
เค้กเรดเวลเวต,"แป้งสาลี,ไข่,นม"
บิสคอฟ,แป้งสาลี
เค้ก,"แป้งสาลี,ไข่,นม"
เฮเซลนัท,ถั่วเปลือกแข็ง
